solver_upper,solver_lower,Δp,seed,profit,market_share,num_evals,time,status
LD_MMA,Ipopt,nothing,1,629583.9288212913,6.890645774703093,58,3505.258134126663,4
LD_MMA,Ipopt,nothing,2,627113.0582729869,6.977007604840815,57,3446.124926805496,4
LD_MMA,Ipopt,nothing,3,503483.0698924671,9.437976029449642,31,1844.9283549785614,4
LD_MMA,Ipopt,nothing,4,660150.8766179021,6.745448274791942,54,3128.340518951416,4
LD_MMA,Ipopt,nothing,5,515708.90176392137,8.192006367082637,55,3282.953973054886,4
LD_MMA,Ipopt,nothing,6,593330.5314686802,6.607485304488751,51,3126.637830018997,4
LD_MMA,Ipopt,nothing,7,641960.0279960671,6.677319587937669,56,3369.3064410686493,4
LD_MMA,Ipopt,nothing,8,441400.4075766634,9.50172834519057,52,3100.031136035919,4
LD_MMA,Ipopt,nothing,9,505161.25023751793,9.46362463803075,54,3583.3756749629974,4
LD_MMA,Ipopt,nothing,10,493257.18844268494,9.283018737480724,47,2828.7756350040436,4
LN_BOBYQA,Ipopt,0.0,1,398781.7018975408,2.681879516265251,100,1111.6657028198242,5
LN_BOBYQA,Ipopt,0.0,2,424994.5800923622,2.8237977709425417,100,1057.730427980423,5
LN_BOBYQA,Ipopt,0.0,3,413469.5047721841,2.7924051654318505,100,1075.452929019928,5
LN_BOBYQA,Ipopt,0.0,4,408094.1512728784,2.703931462513121,100,1070.8178579807281,5
LN_BOBYQA,Ipopt,0.0,5,391744.736736471,2.6342395759849984,100,1036.4698250293732,5
LN_BOBYQA,Ipopt,0.0,6,405613.8253293786,2.747279007315161,100,1144.034110069275,5
LN_BOBYQA,Ipopt,0.0,7,405356.3161075126,2.714075307402132,100,1039.9613230228424,5
LN_BOBYQA,Ipopt,0.0,8,416907.8601131197,2.8107092203326007,100,1105.951191186905,5
LN_BOBYQA,Ipopt,0.0,9,407432.24270854925,2.7734348694199,100,1056.5739369392395,5
LN_BOBYQA,Ipopt,0.0,10,388927.06299417454,2.6444588672801075,100,1018.8784649372101,5
LD_TNEWTON_PRECOND_RESTART,Ipopt,nothing,4,644985.796929955,8.088733324695841,38,2319.878350019455,4
LD_TNEWTON_PRECOND_RESTART,Ipopt,nothing,5,604839.8342306449,6.224460851907855,65,3976.07225894928,4
LD_TNEWTON_PRECOND_RESTART,Ipopt,nothing,8,579232.5206609542,5.863372546358108,56,3459.778429031372,4
LN_COBYLA,Ipopt,0.0,1,473527.52936282655,3.2914449436356303,100,1078.0652148723602,5
LN_COBYLA,Ipopt,0.0,2,453459.1354854593,3.0572512242586547,100,1023.7090928554535,5
LN_COBYLA,Ipopt,0.0,3,489848.76781296195,3.4914091683973116,100,1097.9070301055908,5
LN_COBYLA,Ipopt,0.0,4,483885.64886411006,3.3273901264543326,100,962.7221291065216,5
LN_COBYLA,Ipopt,0.0,5,456512.7012026482,3.2580187147012483,100,1095.7954370975494,5
LN_COBYLA,Ipopt,0.0,6,475336.5075895495,3.408706698951814,100,1169.6885168552399,5
LN_COBYLA,Ipopt,0.0,7,484500.91024239425,3.413132685829475,100,989.1927120685577,5
LN_COBYLA,Ipopt,0.0,8,486279.8287879631,3.457433477227418,100,1181.4076688289642,5
LN_COBYLA,Ipopt,0.0,9,460900.76954934996,3.2901854106692205,100,1078.2053899765015,5
LN_COBYLA,Ipopt,0.0,10,470602.82532957214,3.334392838176782,100,1000.6699910163879,5
LN_NELDERMEAD,Ipopt,0.0,1,473527.5293628363,3.2914449436356303,100,1118.1400711536407,5
LN_NELDERMEAD,Ipopt,0.0,2,453459.1354854287,3.0572512242586547,100,1039.071209192276,5
LN_NELDERMEAD,Ipopt,0.0,3,489848.76781296177,3.4914091683973116,100,1075.2348010540009,5
LN_NELDERMEAD,Ipopt,0.0,4,483885.6488640899,3.3273901264543326,100,1033.4427018165588,5
LN_NELDERMEAD,Ipopt,0.0,5,456512.6996559689,3.2580187147012483,100,984.0106539726257,5
LN_NELDERMEAD,Ipopt,0.0,6,475336.507588969,3.408706698951814,100,1242.2352900505066,5
LN_NELDERMEAD,Ipopt,0.0,7,484500.9102423927,3.413132685829475,100,1054.6953508853912,5
LN_NELDERMEAD,Ipopt,0.0,8,486279.82878796756,3.457433477227418,100,1140.80641913414,5
LN_NELDERMEAD,Ipopt,0.0,9,460900.7695494116,3.2901854106692205,100,1067.6936299800873,5
LN_NELDERMEAD,Ipopt,0.0,10,470602.82532957214,3.334392838176782,100,1035.6403188705444,5
LD_CCSAQ,Ipopt,nothing,1,624324.240321726,7.229484587659512,59,3568.3671629428864,4
LD_CCSAQ,Ipopt,nothing,2,633243.8458275096,7.202017625481673,52,3150.5890390872955,4
LD_CCSAQ,Ipopt,nothing,3,604991.2995579528,6.851712961741274,56,3349.7063908576965,4
LD_CCSAQ,Ipopt,nothing,4,654112.6526452895,6.849097981255742,55,3309.5860052108765,4
LD_CCSAQ,Ipopt,nothing,5,598384.9908440018,6.875877332376444,47,2825.262242794037,4
LD_CCSAQ,Ipopt,nothing,6,599138.5529587846,6.570572979767129,43,2549.805088043213,4
LD_CCSAQ,Ipopt,nothing,7,633182.7971276582,6.8977303515942365,57,3401.1067910194397,4
LD_CCSAQ,Ipopt,nothing,8,563108.9678337795,7.421622914249337,59,3577.2335109710693,4
LD_CCSAQ,Ipopt,nothing,9,605788.7008906608,6.966615464773943,57,3441.102548122406,4
LD_CCSAQ,Ipopt,nothing,10,560763.6032972333,6.715269444455808,59,3569.4729290008545,4
LN_NEWUOA_BOUND,Ipopt,0.0,1,396694.5937481017,2.668257454596464,100,1160.3855929374695,5
LN_NEWUOA_BOUND,Ipopt,0.0,2,423004.55900321295,112.7964266242699,100,1102.4114229679108,5
LN_NEWUOA_BOUND,Ipopt,0.0,3,411612.76630639104,3.1219005757152187,100,1098.7946500778198,5
LN_NEWUOA_BOUND,Ipopt,0.0,4,406143.30047178635,2.6898943004534064,100,975.0623390674591,5
LN_NEWUOA_BOUND,Ipopt,0.0,5,389837.04905492143,2.621566390611279,100,1086.1601371765137,5
LN_NEWUOA_BOUND,Ipopt,0.0,6,403540.38210378896,2.5112192725532276,100,1164.4824831485748,5
LN_NEWUOA_BOUND,Ipopt,0.0,7,403425.04139754584,2.7011857301054225,100,1085.67134308815,5
LN_NEWUOA_BOUND,Ipopt,0.0,8,415381.09212414495,2.7980494975362054,100,1140.2639210224152,5
LN_NEWUOA_BOUND,Ipopt,0.0,9,404450.27723066194,2.762864452960727,100,1073.3985180854797,5
LN_NEWUOA_BOUND,Ipopt,0.0,10,386770.63151524833,2.630424732075897,100,1050.3003928661346,5
LD_SLSQP,Ipopt,nothing,1,396692.3285684554,2.668257454596464,1,79.38984894752502,4
LD_SLSQP,Ipopt,nothing,2,422994.42245616694,2.8107528763948797,1,76.5017671585083,4
LD_SLSQP,Ipopt,nothing,3,595256.5472788628,5.229886902134434,100,6124.816920995712,5
LD_SLSQP,Ipopt,nothing,4,406133.88114358974,2.6898943004534064,1,75.31735301017761,4
LD_SLSQP,Ipopt,nothing,5,599438.027210647,6.302735019143101,100,6119.690332889557,5
LD_SLSQP,Ipopt,nothing,6,403529.5235328151,2.7339725059105686,1,77.51345705986023,4
LD_SLSQP,Ipopt,nothing,7,635602.1987549539,6.280930279767297,100,6045.816938877106,5
LD_SLSQP,Ipopt,nothing,8,573160.8856220098,5.296483320893043,100,6050.58663392067,5
LD_SLSQP,Ipopt,nothing,9,602261.8160636103,6.863588314096251,100,6154.7616510391235,5
LD_SLSQP,Ipopt,nothing,10,386764.4662304388,2.630424732075897,1,76.16425085067749,4
