nodes,nlp,exact
7,1.826055306314643,2.4007004113055763
9,1.8254023963015003,4.765382874031797
11,1.8909989527585487,4.443772287067811
13,1.936895375875876,3.2488053353878232
15,1.9941189036660998,3.236170364379556
17,2.4846767455272536,12.518518482602955
19,2.196193977401741,9.148711559589
21,2.1941770659897473,11.130893060174877
23,2.0267384964434783,16.131121391718693
25,2.124540178988656,37.568622204061555
