solver_upper,solver_lower,Δp,seed,profit,market_share,num_evals,time,status
LD_MMA,Ipopt,nothing,1,96110.71882678397,51.409912646352794,55,112.35776281356812,1
LD_MMA,Ipopt,nothing,2,169611.93004530968,7.801358484116504,50,69.22345805168152,1
LD_MMA,Ipopt,nothing,3,178444.28138203637,15.922922168322174,49,65.88223600387573,1
LD_MMA,Ipopt,nothing,4,194336.04203766666,12.075242297979434,44,56.839174032211304,1
LD_MMA,Ipopt,nothing,5,176613.2149870944,12.422180711866769,62,85.81530904769897,1
LD_MMA,Ipopt,nothing,6,65458.26361763022,26.589452398348463,35,50.73106598854065,1
LD_MMA,Ipopt,nothing,7,79498.15073959171,26.38580354505366,42,58.235145807266235,1
LD_MMA,Ipopt,nothing,8,74496.46392915075,24.967103266479842,39,51.71993613243103,1
LD_MMA,Ipopt,nothing,9,181934.25932745318,7.077167283620686,68,96.30612301826477,1
LD_MMA,Ipopt,nothing,10,150551.556318804,15.517238331302416,44,61.61980485916138,1
LN_BOBYQA,Ipopt,0.0,1,244232.89513945184,10.81443490086525,100,72.240394115448,1
LN_BOBYQA,Ipopt,0.0,2,188387.21949619512,6.913013068576153,100,115.08367490768433,1
LN_BOBYQA,Ipopt,0.0,3,193988.9162058156,7.025273557559125,100,65.74386215209961,1
LN_BOBYQA,Ipopt,0.0,4,150513.5414421936,4.749046588752977,100,68.16472101211548,1
LN_BOBYQA,Ipopt,0.0,5,237987.9450137697,8.291928779369465,100,70.9854621887207,1
LN_BOBYQA,Ipopt,0.0,6,232213.14261507624,7.731145691394789,100,76.82888698577881,1
LN_BOBYQA,Ipopt,0.0,7,237795.28401277255,10.070900059768746,100,73.00460886955261,1
LN_BOBYQA,Ipopt,0.0,8,224848.85898168833,7.89813901386081,100,66.71672105789185,1
LN_BOBYQA,Ipopt,0.0,9,274612.1997313932,11.68412522749941,100,67.7688729763031,1
LN_BOBYQA,Ipopt,0.0,10,173580.3273015472,8.560154430382207,100,71.89584803581238,1
LD_LBFGS,Ipopt,nothing,1,221645.11888298934,11.401696814027988,26,39.10578203201294,1
LD_LBFGS,Ipopt,nothing,2,141262.71448922117,26.311399334821562,26,38.36118006706238,1
LD_LBFGS,Ipopt,nothing,3,87363.0693632695,24.253863875152994,69,95.3198938369751,1
LD_LBFGS,Ipopt,nothing,4,223731.48169915998,15.140592494373312,28,38.29574799537659,1
LD_LBFGS,Ipopt,nothing,5,160116.8615679772,22.860132440024824,24,33.951844930648804,1
LD_LBFGS,Ipopt,nothing,6,92192.29686791127,22.910628369499896,23,34.021559953689575,1
LD_LBFGS,Ipopt,nothing,7,235055.40643308955,13.34543966105306,55,79.17287993431091,1
LD_LBFGS,Ipopt,nothing,8,108555.6621307289,23.11464351812243,33,44.80105805397034,1
LD_LBFGS,Ipopt,nothing,9,160994.8478759525,24.081755403931364,39,58.67839002609253,1
LD_LBFGS,Ipopt,nothing,10,190046.33552746775,10.594052014825742,60,84.64722919464111,1
LD_TNEWTON_PRECOND_RESTART,Ipopt,nothing,1,198035.28078277098,7.88719158718009,37,52.36943316459656,1
LD_TNEWTON_PRECOND_RESTART,Ipopt,nothing,2,145472.39213218822,26.120541699500915,49,74.90275287628174,1
LD_TNEWTON_PRECOND_RESTART,Ipopt,nothing,3,87359.72330924864,24.251828921465503,82,122.74614095687866,1
LD_TNEWTON_PRECOND_RESTART,Ipopt,nothing,4,223801.14490554525,15.217660857646734,34,47.43060493469238,1
LD_TNEWTON_PRECOND_RESTART,Ipopt,nothing,5,160116.8615679772,22.860132440024824,25,35.79092884063721,1
LD_TNEWTON_PRECOND_RESTART,Ipopt,nothing,6,92192.29686791127,22.910628369499896,24,35.60436296463013,1
LD_TNEWTON_PRECOND_RESTART,Ipopt,nothing,7,253347.71115981837,11.747118556625795,95,138.99833989143372,1
LD_TNEWTON_PRECOND_RESTART,Ipopt,nothing,8,108543.39782339208,23.10815061751523,46,62.6436607837677,1
LD_TNEWTON_PRECOND_RESTART,Ipopt,nothing,9,161039.6722133498,24.06518542269386,65,96.75429606437683,1
LD_TNEWTON_PRECOND_RESTART,Ipopt,nothing,10,190069.3908097993,10.536935293217182,75,104.32000207901001,1
LN_COBYLA,Ipopt,0.0,1,176010.19169836925,5.677305066259365,100,72.03100514411926,1
LN_COBYLA,Ipopt,0.0,2,127374.33544940113,3.8448240810590555,100,64.18761801719666,1
LN_COBYLA,Ipopt,0.0,3,176150.12057850952,5.482315426210346,100,65.934485912323,1
LN_COBYLA,Ipopt,0.0,4,91727.20714677343,2.8158531169098886,100,68.77439904212952,1
LN_COBYLA,Ipopt,0.0,5,198362.8753737887,6.237497498689416,100,72.6327908039093,1
LN_COBYLA,Ipopt,0.0,6,102785.83811041675,2.9832594145233964,100,70.44147896766663,1
LN_COBYLA,Ipopt,0.0,7,187911.54789161313,5.893495185002765,100,73.67294597625732,1
LN_COBYLA,Ipopt,0.0,8,148226.30580434453,4.7518733303087295,100,66.37015104293823,1
LN_COBYLA,Ipopt,0.0,9,106883.42897620534,3.1732717624926936,100,68.65271401405334,1
LN_COBYLA,Ipopt,0.0,10,105033.57597358119,3.1867592685601807,100,68.18176698684692,1
LD_CCSAQ,Ipopt,nothing,1,238249.22192024256,13.368774486955296,53,77.45764899253845,1
LD_CCSAQ,Ipopt,nothing,2,152988.0994922613,19.838917943421166,51,73.36208820343018,1
LD_CCSAQ,Ipopt,nothing,3,54459.19634512048,32.066785148062614,53,79.32646608352661,1
LD_CCSAQ,Ipopt,nothing,4,223330.3099661669,14.979136317486603,59,77.34801506996155,1
