Best Improvement AVG,Best Improvement STD,Overall Improvement AVG,Overall Improvement STD,case
19.0,24.8327740429189,41.260000000000005,8.133360655691813,pglib_opf_case300_ieee
41.0,25.342103744997615,49.63166666666667,16.57324269588755,pglib_opf_case1354_pegase
23.7,22.7305472388541,42.50833333333333,16.63823732725389,pglib_opf_case2869_pegase
36.5,12.868998061663973,44.1,16.24431524496425,pglib_opf_case2000_goc
44.4,5.601587076693333,48.25,16.796714846351048,pglib_opf_case2868_rte.m
